id;дата;оценка;автор;текст;лайки;подтверждён;посещений;фото
296787470;2026-09-15;3;A🪼;.;0;нет;;0
296737545;2026-09-14;5;М Abilzhan;👍🏼👍🏼👍🏼;0;нет;;0
295269500;2026-09-08;4;Даурен Граймс;Донер вкусный, но иногда бывает кисловатый;0;да;1;0
292818271;2026-09-03;1;Саня Шибков;Ужасные донеры,очень долгое ожидание,летают мухи;0;да;1;0
284376290;2026-09-02;5;Olzhas Tulegenov;Хорошо готовить и кусно;0;да;;0
282054666;2026-09-01;5;Сенбай Имангали;Мошный донер имно ассарти сыром өте жақсы жартысына тойып кеттім даже әншиінде тоймайтвн едім;0;да;1;1
270984992;2026-08-21;5;𝚈𝚎𝚛𝚊𝚜𝚜𝚢𝚕 ;Отличное заведение;0;да;;0
269317507;2026-08-16;1;Мико .;Донер норм но кечунезом не нрав;0;да;;0
268472148;2026-08-14;5;Aleksandra Karmen;👍🏻👍🏻👍🏻👍🏻;0;нет;;0
266522046;2026-08-09;5;Amirzhan ❤️;еда вкусная, но я её не ел, просто с улицы смотрел как люди едят, они улыбались:);2;да;;0
266514153;2026-08-09;5;Мадина .;Кушты;0;да;;0
265013692;2026-08-05;5;Nazerke S;👍🏻👍🏻👍🏻;0;да;2;0
264587123;2026-08-04;2;Rus1k 04;Донер слышком майлы, бурынгыдай емес👎🏻👎🏻👎🏻;0;да;;0
263478978;2026-07-31;4;анимешник;кейде нормально кейде аз беред;0;да;;0
262672510;2026-07-30;3;Riinno Akhmetkalieev;вкусные донеры. очень быстрый персонал👍🏻;0;нет;;0
262533663;2026-07-29;5;zha1gas tl.;Донер сочный🔥;0;да;;0
253921396;2026-06-29;5;Бакдаулет Конакбай;😍🔥;0;да;;0
253869775;2026-06-28;5;Зоя Кайратовна;⭐⭐⭐⭐⭐ Лучший донер в городе, без вариантов! Если вы ищете тот самый идеальный, сочный и сытный донер — вам определенно сюда. Захожу в «Истанбул донер» уже не первый раз, и качество всегда на высоте! Что особенно круто:  Мясо: Настоящее, идеально прожаренное, без лишнего жира и хрящей. Чувствуется, что маринуют на совесть.  Соус: Это отдельная любовь! Не банальный майонез из пачки, а фирменный, сбалансированный соус, от которого лаваш не размокает, но внутри всё мега-сочно.  Овощи: Всегда свежие, хрустящие, всё в идеальных пропорциях.  Размер: Порции просто огромные. Одним донером можно наесться на полдня вперед. Атмосфера приятная, чисто, а персонал работает очень быстро — завернули горячий шедевр буквально за пару минут.;1;да;;0
253810013;2026-06-28;5;Suinzhan Bekbosinov;😎;0;да;;0
253801765;2026-06-28;5;Akylbek Amangeldi;Керемет дәмі өте  Советую👍🏻;1;да;;0
253796896;2026-06-28;5;Бибигайша Абдуллина;Доставканы ыссы куйінде 35 минутта әкеліп берді👍🏻 чикен просто супер👍🏻;0;да;;0
253796053;2026-06-28;5;Bek Raimbek;👍👍🔥🔥;1;да;;0
253794456;2026-06-28;5;Khan;Зор 👍🏻 советую;0;да;;0
253793806;2026-06-28;5;Daurbek Ilyazov;Өте дәмді 👍;0;да;;0
253792703;2026-06-28;5;B UR;Зор зор;0;да;;0
253792578;2026-06-28;5;Medet M;хороший места;0;да;;0
